,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,IC_positive_ratio,abs_IC_mean
MIN5,0.004720519,0.16156897,0.029216738,0.005525116160641866,0.1666005609528058,0.03316384889345312,0.507473309608541,0.1186154
RANK20,-0.0062193912,0.1509246,-0.041208595,-0.006411843292130541,0.1718005284755213,-0.037321438855933045,0.5039145907473309,0.11810186
RSV10,-0.0048822537,0.15216205,-0.03208588,-0.004354428963487028,0.16946933079616358,-0.025694494018977162,0.49750889679715304,0.11795194
MIN30,0.009636573,0.15647314,0.061586104,0.012106843529352207,0.1651928212377182,0.07328915812290934,0.5174377224199288,0.117678866
IMXD20,-0.0054473807,0.14795949,-0.0368167,-0.006999953765224386,0.16437873329283922,-0.042584300287258146,0.49466192170818507,0.1158285
MIN60,0.0057943696,0.14863904,0.03898282,0.007631403782389136,0.1587483896944483,0.04807231945063834,0.498932384341637,0.11494677
IMAX60,-0.00040174183,0.14641422,-0.0027438714,-0.0016620183149150007,0.15832627810604807,-0.010497424873636708,0.5224199288256228,0.11482162
SUMN5,0.003668263,0.14950693,0.024535738,0.0035538309722111987,0.1675666229041548,0.021208464421696223,0.49323843416370106,0.11462898
SUMD5,-0.0037830747,0.14949836,-0.025305122,-0.003614758691431128,0.16756998957775573,-0.0215716339472437,0.5060498220640569,0.11458364
SUMP5,-0.0039111245,0.14945203,-0.026169762,-0.0036629202649648986,0.1675547819403465,-0.02186102959245108,0.5067615658362989,0.11451659
IMXD30,-0.0041256817,0.14748815,-0.027972968,-0.004443902380361779,0.16163452456740815,-0.027493520442616128,0.49750889679715304,0.1144168
KSFT,-0.001689532,0.14729305,-0.011470547,-0.0032175925862786624,0.1496010922513286,-0.021507813364056196,0.5039145907473309,0.11347668
RANK10,-0.0050073015,0.14617553,-0.034255397,-0.005147390999538281,0.16528122376690507,-0.03114322710585286,0.498932384341637,0.112277605
RSV5,-0.0021313827,0.1458373,-0.014614796,-0.0020453731780167624,0.16084342791858797,-0.012716547249207906,0.5039145907473309,0.11160919
IMXD10,-0.0065694926,0.14037988,-0.04679796,-0.007859472978111208,0.15731970164428877,-0.04995860274573884,0.49466192170818507,0.11055688
